Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident 2009,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)",Unfilled positions
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,KAWEKA,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,902",,,,,,,,,,1,100.0%,1,100.0%,"1,898",4,0.21%,"1,902",2620,72.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,MARAEKAKAHO,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,632",,,,,,,,,,1,100.0%,1,100.0%,"1,632",0,0.00%,"1,632",2610,62.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,POUKAWA,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,202",,,,,,,,,,1,100.0%,1,100.0%,"2,189",13,0.59%,"2,202",3020,72.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,TUTIRA,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,854",681,,,,,,,,,1,50.0%,1,100.0%,"1,842",12,0.65%,"1,854",2550,72.7%,"1,842",12,"1,854",673,36.5%,8,66.7%,681,36.7%,2,0.3%,0,0.0%,2,0.3%,2,100.0%,0,,2,100.0%,0,0.0%,52,7.6%,52,7.6%,1,50.0%,1,100.0%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,FLAXMERE,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,2,0,3,1.50,"2,993",914,1,33.3%,,,1,50.0%,1,,0,0.0%,0,0.0%,"5,985",1,0.02%,"5,986",10300,58.1%,"5,985",1,"5,986","1,826",30.5%,1,100.0%,"1,827",30.5%,17,0.9%,0,0.0%,17,0.9%,12,70.6%,0,,12,70.6%,0,0.0%,13,0.7%,13,0.7%,2,66.7%,1,50.0%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,HASTINGS,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,6,0,9,1.50,"3,270","1,341",4,44.4%,,,3,50.0%,3,,0,0.0%,0,0.0%,"19,599",18,0.09%,"19,617",29800,65.8%,"19,599",18,"19,617","8,025",40.9%,18,100.0%,"8,043",41.0%,67,0.8%,2,11.1%,69,0.9%,53,79.1%,2,100.0%,55,79.7%,23,0.3%,139,1.7%,162,2.0%,4,44.4%,3,50.0%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,HAVELOCK NORTH,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,2,0,4,2.00,"4,566","2,499",2,50.0%,,,1,50.0%,1,,0,0.0%,0,0.0%,"9,125",7,0.08%,"9,132",12350,73.9%,"9,125",7,"9,132","4,991",54.7%,7,100.0%,"4,998",54.7%,56,1.1%,1,14.3%,57,1.1%,51,91.1%,1,100.0%,52,91.2%,3,0.1%,194,3.9%,197,3.9%,2,50.0%,0,0.0%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,HERETAUNGA,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,2,0,4,2.00,"4,087","1,975",1,25.0%,,,1,50.0%,1,,0,0.0%,0,0.0%,"8,166",8,0.10%,"8,174",11100,73.6%,"8,166",8,"8,174","3,944",48.3%,5,62.5%,"3,949",48.3%,27,0.7%,0,0.0%,27,0.7%,25,92.6%,0,,25,92.6%,3,0.1%,116,2.9%,119,3.0%,0,0.0%,0,0.0%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,KAHURANAKI,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"3,830","1,903",1,50.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"3,821",9,0.23%,"3,830",5630,68.0%,"3,821",9,"3,830","1,896",49.6%,7,77.8%,"1,903",49.7%,19,1.0%,0,0.0%,19,1.0%,14,73.7%,0,,14,73.7%,0,0.0%,129,6.8%,129,6.8%,0,0.0%,0,0.0%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,MOHAKA,DC,FPP,n,Hawke's Bay,Provincial,District,,Y,1.01 pm,10th October 6.26 pm,Alphabetical,N/A,N/A,"50,501",N/A,N/A,Unopposed,1,1,1,1.00,"3,756",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"3,740",16,0.43%,"3,756",5170,72.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
HASTINGS DISTRICT,FLAXMERE LICENSING TRUST,AT LARGE,LT,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1.00,"1,014",,,,,,,,,,4,66.7%,4,66.7%,"5,941",,,"6,082",10300,59.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.3%,2,33.3%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,1,0,4,4.00,"50,495","22,163",1,25.0%,2,Re-elected,1,100.0%,1,,,,,,"50,436",59,0.12%,"50,495",74350,67.9%,"50,436",59,"50,495","22,115",43.8%,48,81.4%,"22,163",43.9%,193,0.9%,3,6.3%,196,0.9%,162,83.9%,3,100.0%,165,84.2%,40,0.2%,407,1.8%,447,2.0%,0,0.0%,0,0.0%,
HAURAKI DISTRICT,HAURAKI DISTRICT COUNCIL,PAEROA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,4,0,8,2.00,"1,043",479,3,37.5%,,,3,75.0%,3,,,,,,"4,165",6,0.14%,"4,171",5870,71.1%,"4,165",6,"4,171","1,908",45.8%,6,100.0%,"1,914",45.9%,10,0.5%,3,50.0%,13,0.7%,6,60.0%,2,66.7%,8,61.5%,4,0.2%,6,0.3%,10,0.5%,1,12.5%,1,25.0%,
HAURAKI DISTRICT,HAURAKI DISTRICT COUNCIL,PLAINS,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1.00,"1,014",,4,100.0%,,,4,100.0%,4,,,,,,"4,040",16,0.39%,"4,056",6080,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.0%,1,25.0%,
HAURAKI DISTRICT,HAURAKI DISTRICT COUNCIL,WAIHI,DC,FPP,n,Hawke's Bay,Rural,District,,N,N/A,1.00 pm,Alphabetical,N/A,N/A,"13,164",120,2,Contested,5,0,16,3.20,987,396,4,25.0%,,,3,60.0%,3,,,,,,"4,926",11,0.22%,"4,937",6550,75.4%,"4,926",11,"4,937","1,973",40.1%,9,81.8%,"1,982",40.1%,8,0.4%,5,55.6%,13,0.7%,8,100.0%,5,100.0%,13,100.0%,15,0.8%,4,0.2%,19,1.0%,5,31.3%,1,20.0%,
HAURAKI DISTRICT,HAURAKI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"13,164",,1,100.0%,0,Unopposed,1,100.0%,1,,,,,,"13,131",33,0.25%,"13,164",18500,71.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
HAWKE'S BAY DHB,HAWKE'S BAY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Hawke's Bay,DHB,DHB,,Y,5.42 pm,11th October 10.30 am,Alphabetical,,,,,,Contested,7,0,14,2.00,"15,239","7,003",,,,,,,,,6,42.9%,6,85.7%,"106,676",,,"106,676",153900,69.3%,"106,676",,"106,676","49,023",46.0%,,,"49,023",46.0%,433,0.9%,,,433,0.9%,351,81.1%,,,351,81.1%,"2,513",5.1%,"2,486",5.1%,"4,999",10.2%,7,50.0%,3,42.9%,
HAWKE'S BAY REGION,HAWKE'S BAY REGIONAL COUNCIL,CENTRAL HAWKE'S BAY,RC,FPP,n,Hawke's Bay,Regional,Regional,,,,,,,,,,,Contested,1,0,2,2.00,"11,280","6,238",1,50.0%,,,1,100.0%,,,,,,,"11,271",9,0.08%,"11,280",16500,68.4%,"11,271",9,"11,280","6,229",55.3%,9,100.0%,"6,238",55.3%,35,0.6%,4,44.4%,39,0.6%,30,85.7%,4,100.0%,34,87.2%,2,0.0%,304,4.9%,306,4.9%,0,0.0%,0,0.0%,
HAWKE'S BAY REGION,HAWKE'S BAY REGIONAL COUNCIL,HASTINGS,RC,FPP,n,Hawke's Bay,Regional,Regional,,,,,,,,,,,Contested,4,0,7,1.75,"12,137","5,311",4,57.1%,,,4,100.0%,,,,,,,"48,526",22,0.05%,"48,548",71300,68.1%,"48,526",22,"48,548","21,225",43.7%,19,86.4%,"21,244",43.8%,184,0.9%,3,15.8%,187,0.9%,157,85.3%,3,100.0%,160,85.6%,43,0.2%,871,4.1%,914,4.3%,2,28.6%,2,50.0%,
HAWKE'S BAY REGION,HAWKE'S BAY REGIONAL COUNCIL,NAPIER,RC,FPP,n,Hawke's Bay,Regional,Regional,,,,,,,,,,,Contested,3,0,5,1.67,"13,799","6,194",3,60.0%,,,3,100.0%,,,,,,,"41,366",31,0.07%,"41,397",57200,72.4%,"41,366",31,"41,397","18,551",44.8%,30,96.8%,"18,581",44.9%,115,0.6%,9,30.0%,124,0.7%,108,93.9%,9,100.0%,117,94.4%,18,0.1%,868,4.7%,886,4.8%,1,20.0%,1,33.3%,
HAWKE'S BAY REGION,HAWKE'S BAY REGIONAL COUNCIL,WAIROA,RC,FPP,n,Hawke's Bay,Regional,Regional,,N,N/A,1.00 pm,Alphabetical,N/A,N/A,,,,Contested,1,0,4,4.00,"5,280","3,032",1,25.0%,,,1,100.0%,,,,,,,"5,217",63,1.19%,"5,280",8420,62.7%,"5,217",63,"5,280","2,975",57.0%,57,90.5%,"3,032",57.4%,31,1.0%,7,12.3%,38,1.3%,26,83.9%,5,71.4%,31,81.6%,16,0.5%,111,3.7%,127,4.2%,1,25.0%,0,0.0%,
HOROWHENUA DISTRICT,FOXTON COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,5,0,7,1.40,637,351,,,,,,,,,4,57.1%,4,80.0%,"3,172",11,0.35%,"3,183",4470,71.2%,"3,172",11,"3,183","1,745",55.0%,10,90.9%,"1,755",55.1%,12,0.7%,2,20.0%,14,0.8%,12,100.0%,2,100.0%,14,100.0%,3,0.2%,43,2.5%,46,2.6%,3,42.9%,2,40.0%,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,KERE KERE,DC,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,2,0,5,2.50,"1,908","1,036",2,40.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"3,801",14,0.37%,"3,815",5390,70.8%,"3,801",14,"3,815","2,058",54.1%,13,92.9%,"2,071",54.3%,15,0.7%,2,15.4%,17,0.8%,15,100.0%,2,100.0%,17,100.0%,4,0.2%,39,1.9%,43,2.1%,2,40.0%,1,50.0%,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,LEVIN,DC,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,5,0,12,2.40,"2,281","1,169",4,33.3%,,,4,80.0%,4,,0,0.0%,0,0.0%,"11,398",9,0.08%,"11,407",16000,71.3%,"11,398",9,"11,407","5,834",51.2%,9,100.0%,"5,843",51.2%,53,0.9%,4,44.4%,57,1.0%,53,100.0%,4,100.0%,57,100.0%,12,0.2%,115,2.0%,127,2.2%,2,16.7%,1,20.0%,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,MIRANUI,DC,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,863",815,1,50.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,863",0,0.00%,"1,863",2970,62.7%,"1,863",0,"1,863",815,43.7%,0,,815,43.7%,2,0.2%,0,,2,0.2%,2,100.0%,0,,2,100.0%,0,0.0%,15,1.8%,15,1.8%,0,0.0%,0,0.0%,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,WAIOPEHU,DC,FPP,n,Manawatu-Wanganui,Provincial,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"21,959",236,33,Contested,2,0,5,2.50,"2,437","1,350",2,40.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"4,859",15,0.31%,"4,874",6190,78.7%,"4,859",15,"4,874","2,686",55.3%,14,93.3%,"2,700",55.4%,24,0.9%,3,21.4%,27,1.0%,24,100.0%,3,100.0%,27,100.0%,2,0.1%,101,3.7%,103,3.8%,2,40.0%,0,0.0%,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,1,0,5,5.00,"21,959","11,429",2,40.0%,3,Re-elected,1,100.0%,1,,,,,,"21,921",38,0.17%,"21,959",30550,71.9%,"21,921",38,"21,959","11,393",52.0%,36,94.7%,"11,429",52.0%,94,0.8%,9,25.0%,103,0.9%,94,100.0%,9,100.0%,103,100.0%,23,0.2%,98,0.9%,121,1.1%,2,40.0%,0,0.0%,
HURUNUI DISTRICT,HANMER SPRINGS COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,5,0,8,1.60,140,85,,,,,,,,,2,25.0%,1,20.0%,653,48,6.85%,701,990,70.8%,653,48,701,388,59.4%,38,79.2%,426,60.8%,4,1.0%,4,10.5%,8,1.9%,4,100.0%,4,100.0%,8,100.0%,0,0.0%,7,1.6%,7,1.6%,2,25.0%,2,40.0%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,AMBERLEY,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,3,0,8,2.67,992,530,1,12.5%,,,0,0.0%,0,,0,0.0%,0,0.0%,"2,966",10,0.34%,"2,976",3940,75.5%,"2,966",10,"2,976","1,580",53.3%,10,100.0%,"1,590",53.4%,12,0.8%,3,30.0%,15,0.9%,12,100.0%,3,100.0%,15,100.0%,0,0.0%,18,1.1%,18,1.1%,2,25.0%,1,33.3%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,AMURI-HURUNUI,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,3,0,4,1.33,759,428,0,0.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,"2,268",10,0.44%,"2,278",3610,63.1%,"2,268",10,"2,278","1,274",56.2%,10,100.0%,"1,284",56.4%,4,0.3%,1,10.0%,5,0.4%,4,100.0%,1,100.0%,5,100.0%,0,0.0%,20,1.6%,20,1.6%,1,25.0%,1,33.3%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,CHEVIOT,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,022",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,004",18,1.76%,"1,022",1300,78.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,GLENMARK,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,841,,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,829,12,1.43%,841,1170,71.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,HANMER SPRINGS,DC,FPP,s,Canterbury,Rural,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"7,818",82,14,Contested,1,0,3,3.00,701,426,1,33.3%,,,1,100.0%,1,,0,0.0%,0,0.0%,653,48,6.85%,701,990,70.8%,653,48,701,388,59.4%,38,79.2%,426,60.8%,4,1.0%,4,10.5%,8,1.9%,4,100.0%,4,100.0%,8,100.0%,0,0.0%,4,0.9%,4,0.9%,0,0.0%,0,0.0%,
HURUNUI DISTRICT,CHEVIOT LICENSING TRUST,AT LARGE,LT,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,6,6,6,1.00,156,,,,,,,,,,4,66.7%,4,66.7%,936,,,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.7%,1,16.7%,
HURUNUI DISTRICT,HAWARDEN LICENSING TRUST,AT LARGE,LT,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,6,6,6,1.00,82,,,,,,,,,,4,66.7%,4,66.7%,489,,,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,1,0,3,3.00,"7,818","4,157",1,33.3%,1,Stood down,0,0.0%,1,,,,,,"7,720",98,1.25%,"7,818",11010,71.0%,"7,720",98,"7,818","4,076",52.8%,81,82.7%,"4,157",53.2%,26,0.6%,8,9.9%,34,0.8%,26,100.0%,8,100.0%,34,100.0%,5,0.1%,58,1.4%,63,1.5%,0,0.0%,0,0.0%,
HUTT CITY,EASTBOURNE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Unopposed,5,5,5,1.00,768,,,,,,,,,,4,80.0%,4,80.0%,"3,833",7,0.18%,"3,840",4830,79.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.0%,2,40.0%,
HUTT CITY,PETONE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,6,0,13,2.17,"1,507",563,,,,,,,,,4,30.8%,3,50.0%,"9,029",10,0.11%,"9,039",13000,69.5%,"9,029",10,"9,039","3,368",37.3%,10,100.0%,"3,378",37.4%,48,1.4%,1,10.0%,49,1.5%,33,68.8%,1,100.0%,34,69.4%,8,0.2%,160,4.7%,168,5.0%,1,7.7%,1,16.7%,
HUTT CITY,WAINUIOMATA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,6,0,7,1.17,"1,925",838,,,,,,,,,2,28.6%,1,16.7%,"11,550",1,0.01%,"11,551",17950,64.4%,"11,550",1,"11,551","5,024",43.5%,1,100.0%,"5,025",43.5%,24,0.5%,1,100.0%,25,0.5%,21,87.5%,0,0.0%,21,84.0%,1,0.0%,210,4.2%,211,4.2%,2,28.6%,1,16.7%,
HUTT CITY,HUTT CITY COUNCIL,CENTRAL,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,0,4,2.00,"6,121","2,760",1,25.0%,,,1,50.0%,1,,0,0.0%,0,0.0%,"12,235",7,0.06%,"12,242",16800,72.9%,"12,235",7,"12,242","5,512",45.1%,7,100.0%,"5,519",45.1%,46,0.8%,1,14.3%,47,0.9%,38,82.6%,1,100.0%,39,83.0%,4,0.1%,146,2.6%,150,2.7%,1,25.0%,0,0.0%,
HUTT CITY,HUTT CITY COUNCIL,EASTERN,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,0,8,4.00,"5,752","2,195",2,25.0%,,,1,50.0%,1,,0,0.0%,0,0.0%,"11,499",5,0.04%,"11,504",17800,64.6%,"11,499",5,"11,504","4,385",38.1%,5,100.0%,"4,390",38.2%,39,0.9%,1,20.0%,40,0.9%,33,84.6%,0,0.0%,33,82.5%,26,0.6%,119,2.7%,145,3.3%,2,25.0%,1,50.0%,
HUTT CITY,HUTT CITY COUNCIL,HARBOUR,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,0,8,4.00,"6,440","2,604",2,25.0%,,,1,50.0%,1,,2,25.0%,1,50.0%,"12,866",13,0.10%,"12,879",17800,72.4%,"12,866",13,"12,879","5,194",40.4%,13,100.0%,"5,207",40.4%,62,1.2%,6,46.2%,68,1.3%,46,74.2%,1,16.7%,47,69.1%,9,0.2%,177,3.4%,186,3.6%,3,37.5%,0,0.0%,
HUTT CITY,HUTT CITY COUNCIL,NORTHERN,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,0,7,3.50,"5,129","1,919",2,28.6%,,,2,100.0%,2,,0,0.0%,0,0.0%,"10,250",7,0.07%,"10,257",16200,63.3%,"10,250",7,"10,257","3,832",37.4%,6,85.7%,"3,838",37.4%,29,0.8%,8,133.3%,37,1.0%,21,72.4%,0,0.0%,21,56.8%,19,0.5%,80,2.1%,99,2.6%,3,42.9%,1,50.0%,
HUTT CITY,HUTT CITY COUNCIL,WAINUIOMATA,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,0,5,2.50,"5,776","2,513",1,20.0%,,,0,0.0%,0,,1,20.0%,1,50.0%,"11,550",1,0.01%,"11,551",17950,64.4%,"11,550",1,"11,551","5,024",43.5%,1,100.0%,"5,025",43.5%,24,0.5%,1,100.0%,25,0.5%,21,87.5%,0,0.0%,21,84.0%,19,0.4%,46,0.9%,65,1.3%,1,20.0%,1,50.0%,
HUTT CITY,HUTT CITY COUNCIL,WESTERN,CC,FPP,n,Wellington,Metro,City,s,Y,1.30 pm,11th October 12.00 pm,Alphabetical,N/A,N/A,"69,713",758,294,Contested,2,0,3,1.50,"5,640","2,080",2,66.7%,,,2,100.0%,2,,0,0.0%,0,0.0%,"11,280",0,0.00%,"11,280",15550,72.5%,"11,280",0,"11,280","4,160",36.9%,0,,"4,160",36.9%,29,0.7%,0,,29,0.7%,26,89.7%,0,,26,89.7%,1,0.0%,126,3.0%,127,3.1%,2,66.7%,1,50.0%,
HUTT CITY,HUTT CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,0,2,2.00,"69,713","28,139",2,100.0%,1,Defeated,0,0.0%,1,,,,,,"69,680",33,0.05%,"69,713",102100,68.3%,"69,680",33,"69,713","28,107",40.3%,32,97.0%,"28,139",40.4%,229,0.8%,17,53.1%,246,0.9%,185,80.8%,2,11.8%,187,76.0%,15,0.1%,765,2.7%,780,2.8%,0,0.0%,0,0.0%,
HUTT VALLEY DHB,HUTT VALLEY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Wellington,DHB,DHB,,Y,1.30 pm,11th October 12.00 pm,Random,,,,,,Contested,7,0,15,2.14,"14,036","5,825",,,,,,,,,8,53.3%,5,71.4%,"98,250",,,"98,250",142700,68.9%,"98,250",,"98,250","40,775",41.5%,,,"40,775",41.5%,339,0.8%,,,339,0.8%,283,83.5%,,,283,83.5%,"2,074",5.1%,"2,158",5.3%,"4,232",10.4%,7,46.7%,1,14.3%,
INVERCARGILL CITY,BLUFF COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,City,s,,,,,,,,,,Unopposed,5,5,5,1.00,306,,,,,,,,,,2,40.0%,2,40.0%,"1,529",3,0.20%,"1,532",2010,76.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.0%,2,40.0%,
INVERCARGILL CITY,INVERCARGILL CITY COUNCIL,AT LARGE,CC,FPP,s,Southland,Provincial,City,s,N,N/A,1.30 pm,Alphabetical,N/A,N/A,"38,312",296,56,Contested,12,0,32,2.67,128,"1,917",11,34.4%,,,8,66.7%,8,61.5%,0,0.0%,0,0.0%,"1,529",3,0.20%,"1,532",51900,73.8%,"1,529",3,"1,532","22,936",1500.1%,73,2433.3%,"23,009",1501.9%,110,0.5%,20,27.4%,130,0.6%,90,81.8%,18,90.0%,108,83.1%,157,0.7%,646,2.8%,803,3.5%,8,25.0%,3,25.0%,
INVERCARGILL CITY,INVERCARGILL LICENSING TRUST,AT LARGE,LT,FPP,s,Southland,Provincial,City,s,,,,,,,,,,Contested,6,0,14,2.33,"5,272","3,141",,,,,,,,,3,21.4%,2,33.3%,"31,632",,,"31,632",,,"31,632",,"31,632","18,848",59.6%,,,"18,848",59.6%,88,0.5%,,,88,0.5%,73,83.0%,,,73,83.0%,61,0.3%,"1,170",6.2%,"1,231",6.5%,2,14.3%,1,16.7%,
INVERCARGILL CITY,INVERCARGILL CITY COUNCIL,AT LARGE,MAYOR,FPP,s,Southland,Provincial,City,s,,,,,,,,,,Contested,1,0,3,3.00,"38,311","23,009",1,33.3%,1,Re-elected,1,100.0%,1,,,,,,"38,251",60,0.16%,"38,311",51900,73.8%,"38,251",60,"38,311","22,936",60.0%,73,121.7%,"23,009",60.1%,110,0.5%,20,27.4%,130,0.6%,90,81.8%,18,90.0%,108,83.1%,19,0.1%,481,2.1%,500,2.2%,0,0.0%,0,0.0%,
KAIKOURA DISTRICT,KAIKOURA DISTRICT COUNCIL,AT LARGE,DC,FPP,s,Canterbury,Rural,District,,Y,1.00 pm,10th October 4.00 pm,Pseudo-random,N/A,N/A,"2,645",33,3,Contested,7,0,10,1.43,"5,473","3,287",4,40.0%,,,4,57.1%,5,62.5%,,,,,"38,251",60,0.16%,"38,311",3780,70.0%,"38,251",60,"38,311","22,936",60.0%,73,121.7%,"23,009",60.1%,110,0.5%,20,27.4%,130,0.6%,90,81.8%,18,90.0%,108,83.1%,3,0.0%,30,0.1%,33,0.1%,1,10.0%,1,14.3%,
KAIKOURA DISTRICT,KAIKOURA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,1,0,4,4.00,"2,645","1,733",2,50.0%,1,Stood down,0,0.0%,0,,,,,,"2,627",18,0.68%,"2,645",3780,70.0%,"2,627",18,"2,645","1,718",65.4%,15,83.3%,"1,733",65.5%,24,1.4%,18,120.0%,42,2.4%,24,100.0%,18,100.0%,42,100.0%,1,0.1%,11,0.6%,12,0.7%,1,25.0%,0,0.0%,
