Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Population resident 2013,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout 
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women elected
(N)","Women elected
(%)",Unfilled positions
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"51,605","23,175",2,66.70%,2,Re-elected,1,100.00%,1,,,,,,"51,548",57,0.11%,"51,605","73,245",70.50%,"51,548",57,"51,605","23,122",44.90%,53,93.00%,"23,175",44.90%,258,1.10%,13,24.50%,271,1.20%,255,98.80%,13,100.00%,268,98.90%,38,0.20%,640,2.80%,678,2.90%,0,,,,
HAURAKI DISTRICT,HAURAKI DISTRICT COUNCIL,PAEROA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,4,,5,1.25,"1,052",460,4,80.00%,,,4,100.00%,4,,,,,,"4,203",4,0.10%,"4,207","5,475",76.80%,"4,203",4,"4,207","1,836",43.70%,4,100.00%,"1,840",43.70%,6,0.30%,,,6,0.30%,6,100.00%,,,6,100.00%,1,0.10%,23,1.30%,24,1.30%,1,20.00%,1,25.00%,
HAURAKI DISTRICT,HAURAKI DISTRICT COUNCIL,PLAINS,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,4,,5,1.25,"1,027",419,3,60.00%,,,3,75.00%,3,,,,,,"4,094",13,0.32%,"4,107","5,862",70.10%,"4,094",13,"4,107","1,663",40.60%,11,84.60%,"1,674",40.80%,4,0.20%,8,72.70%,12,0.70%,4,100.00%,8,100.00%,12,100.00%,2,0.10%,18,1.10%,20,1.20%,1,20.00%,1,25.00%,
HAURAKI DISTRICT,HAURAKI DISTRICT COUNCIL,WAIHI,DC,FPP,n,Waikato,Rural,District,,N,N/A,,Alphabetical,N/A,N/A,"13,299",120,5,Contested,4,,6,1.5,"1,246",465,3,50.00%,,,3,75.00%,3,,,,,,"4,977",8,0.16%,"4,985","6,474",77.00%,"4,977",8,"4,985","1,853",37.20%,8,100.00%,"1,861",37.30%,11,0.60%,6,75.00%,17,0.90%,11,100.00%,6,100.00%,17,100.00%,1,0.10%,49,2.60%,50,2.70%,1,16.70%,1,25.00%,
HAURAKI DISTRICT,HAURAKI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,1,,2,2,"13,299","5,375",1,50.00%,,Re-elected,1,100.00%,1,,,,,,"13,274",25,0.19%,"13,299","17,811",74.70%,"13,274",25,"13,299","5,352",40.30%,23,92.00%,"5,375",40.40%,27,0.50%,14,60.90%,41,0.80%,27,100.00%,14,100.00%,41,100.00%,4,0.10%,101,1.90%,105,2.00%,1,50.00%,,,
HAWKE'S BAY DHB,HAWKE'S BAY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Hawke's Bay,DHB,DHB,,Y,7.32 pm,14th October 9.51 am,Alphabetical,,,,,,Contested,7,,12,1.71,"15,441","7,371",,,,,,,,,5,41.70%,5,71.40%,"108,090",,,"108,090","155,500",69.50%,"108,090",,"108,090","51,600",47.70%,,,"51,600",47.70%,329,0.60%,,,329,0.60%,316,96.00%,,,316,96.00%,"2,600",5.00%,"3,722",7.20%,"6,322",12.30%,7,58.30%,3,42.90%,
HAWKE'S BAY REGION,HAWKE'S BAY REGIONAL COUNCIL,CENTRAL HAWKE'S BAY,RC,FPP,n,Hawke's Bay,Regional,Regional,,,,,,,,,,,Contested,1,,2,2,"9,313","5,136",1,50.00%,,,,,,,,,,,"9,300",13,0.14%,"9,313","16,350",57.00%,"9,300",13,"9,313","5,124",55.10%,12,92.30%,"5,136",55.10%,51,1.00%,,,51,1.00%,,,,,,,2,0.00%,183,3.60%,185,3.60%,1,50.00%,1,100.00%,
HAWKE'S BAY REGION,HAWKE'S BAY REGIONAL COUNCIL,HASTINGS,RC,FPP,n,Hawke's Bay,Regional,Regional,,,,,,,,,,,Contested,3,,5,1.67,"12,486","5,443",2,40.00%,,,,,,,,,,,"37,444",15,0.04%,"37,459","72,800",51.50%,"37,444",15,"37,459","16,314",43.60%,14,93.30%,"16,328",43.60%,205,1.30%,,,205,1.30%,,,,,,,36,0.20%,700,4.30%,736,4.50%,0,,,,
HAWKE'S BAY REGION,HAWKE'S BAY REGIONAL COUNCIL,NAPIER,RC,FPP,n,Hawke's Bay,Regional,Regional,,,,,,,,,,,Contested,3,,7,2.33,"13,986","6,676",2,28.60%,,,2,66.70%,,,,,,,"41,948",11,0.03%,"41,959","57,800",72.60%,"41,948",11,"41,959","20,021",47.70%,8,72.70%,"20,029",47.70%,218,1.10%,,,218,1.10%,,,,,,,33,0.20%,"1,269",6.30%,"1,302",6.50%,2,28.60%,1,33.30%,
HAWKE'S BAY REGION,HAWKE'S BAY REGIONAL COUNCIL,NGARURORO,RC,FPP,n,Hawke's Bay,Regional,Regional,,,,,,,,,,,Contested,1,,4,4,"14,173","6,824",1,25.00%,,,,,,,,,,,"14,161",12,0.08%,"14,173",,,"14,161",12,"14,173","6,813",48.10%,11,91.70%,"6,824",48.10%,66,1.00%,,,66,1.00%,,,,,,,92,1.30%,343,5.00%,435,6.40%,0,,,,
HAWKE'S BAY REGION,HAWKE'S BAY REGIONAL COUNCIL,WAIROA,RC,FPP,n,Hawke's Bay,Regional,Regional,,Y,1.05 pm,1.05 pm,Alphabetical,N/A,N/A,,,,Contested,1,,2,2,"5,186","3,207",1,50.00%,,,1,100.00%,,,,,,,"5,133",53,1.02%,"5,186","8,050",64.40%,"5,133",53,"5,186","3,167",61.70%,40,75.50%,"3,207",61.80%,62,2.00%,1,2.50%,63,2.00%,54,87.10%,,,54,85.70%,4,0.10%,218,6.80%,222,6.90%,0,,,,
HOROWHENUA DISTRICT,FOXTON COMMUNITY BOARD,AT LARGE,CB,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,5,,7,1.4,641,343,,,,,,,,,2,28.60%,2,40.00%,"3,188",17,0.53%,"3,205","4,440",72.20%,"3,188",17,"3,205","1,699",53.30%,15,88.20%,"1,714",53.50%,13,0.80%,2,13.30%,15,0.90%,8,61.50%,,,8,53.30%,1,0.10%,35,2.00%,36,2.10%,3,42.90%,3,60.00%,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,KERE KERE,DC,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,2,,4,2,"1,975","1,032",1,25.00%,,,,,,,,,,,"3,932",18,0.46%,"3,950","5,205",75.90%,"3,932",18,"3,950","2,047",52.10%,17,94.40%,"2,064",52.30%,16,0.80%,3,17.60%,19,0.90%,10,62.50%,,,10,52.60%,1,0.00%,21,1.00%,22,1.10%,1,25.00%,,,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,LEVIN,DC,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,5,,17,3.4,"2,292","1,179",3,17.60%,,,3,60.00%,3,,1,5.90%,,,"11,448",12,0.10%,"11,460","15,885",72.10%,"11,448",12,"11,460","5,885",51.40%,11,91.70%,"5,896",51.40%,48,0.80%,4,36.40%,52,0.90%,34,70.80%,2,50.00%,36,69.20%,45,0.80%,169,2.90%,214,3.60%,6,35.30%,3,60.00%,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,MIRANUI,DC,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"1,864",909,1,33.30%,,,,,,,,,,,"1,863",1,0.05%,"1,864","2,823",66.00%,"1,863",1,"1,864",908,48.70%,1,100.00%,909,48.80%,6,0.70%,,,6,0.70%,6,100.00%,,,6,100.00%,3,0.30%,4,0.40%,7,0.80%,0,,,,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,WAIOPEHU,DC,FPP,n,Manawatu-Wanganui,Provincial,District,,Y,1.58 pm,13th October 3.58 pm,Alphabetical,N/A,N/A,"22,103",189,19,Contested,2,,4,2,"2,414","1,416",0,0.00%,,,,,,,,,,,"4,802",26,0.54%,"4,828","6,183",78.10%,"4,802",26,"4,828","2,807",58.50%,24,92.30%,"2,831",58.60%,19,0.70%,,,19,0.70%,6,31.60%,,,6,31.60%,,0.00%,51,1.80%,51,1.80%,1,25.00%,1,50.00%,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"22,102","11,700",1,33.30%,1,Re-elected,1,100.00%,1,,,,,,"22,045",57,0.26%,"22,102","30,096",73.40%,"22,045",57,"22,102","11,647",52.80%,53,93.00%,"11,700",52.90%,89,0.80%,7,13.20%,96,0.80%,66,74.20%,2,28.60%,68,70.80%,13,0.10%,235,2.00%,248,2.10%,2,66.70%,,,
HURUNUI DISTRICT,HANMER SPRINGS COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,5,,7,1.4,140,77,,,,,,,,,1,14.30%,1,20.00%,672,30,4.27%,702,"1,070",65.60%,672,30,702,360,53.60%,23,76.70%,383,54.60%,3,0.80%,2,8.70%,5,1.30%,3,100.00%,2,100.00%,5,100.00%,1,0.30%,2,0.50%,3,0.80%,3,42.90%,3,60.00%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,AMBERLEY,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,3,3,3,1,"1,071",,2,66.70%,,,2,66.70%,2,,,,,,"3,209",5,0.16%,"3,214","4,431",72.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.70%,2,66.70%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,AMURI-HURUNUI,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,3,,4,1.33,757,315,3,75.00%,,,3,100.00%,3,,,,,,"2,261",9,0.40%,"2,270","3,519",64.50%,"2,261",9,"2,270",936,41.40%,8,88.90%,944,41.60%,2,0.20%,,,2,0.20%,2,100.00%,,,2,100.00%,3,0.30%,1,0.10%,4,0.40%,1,25.00%,1,33.30%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,CHEVIOT,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,010",,1,100.00%,,,1,100.00%,1,,,,,,997,13,1.29%,"1,010","1,359",74.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,GLENMARK,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,852,,0,0.00%,,,,,,,,,,,844,8,0.94%,852,"1,143",74.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,HANMER SPRINGS,DC,FPP,s,Canterbury,Rural,District,,Y,1.33 pm,12th October 8.18 pm,Alphabetical,N/A,N/A,"8,048",54,5,Contested,1,,2,2,702,383,0,0.00%,,,,,,,1,50.00%,1,100.00%,672,30,4.27%,702,"1,077",65.20%,672,30,702,360,53.60%,23,76.70%,383,54.60%,3,0.80%,2,8.70%,5,1.30%,3,100.00%,2,100.00%,5,100.00%,,0.00%,15,3.90%,15,3.90%,1,50.00%,0,0.00%,
HURUNUI DISTRICT,CHEVIOT LICENSING TRUST,AT LARGE,LT,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,6,,7,1.17,156,58,,,,,,,,,6,85.70%,1,16.70%,936,,,936,,,936,,936,345,36.90%,,,345,36.90%,,,,,,,,,,,,,1,0.30%,7,2.00%,8,2.30%,1,14.30%,1,16.70%,
HURUNUI DISTRICT,HAWARDEN LICENSING TRUST,AT LARGE,LT,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,6,6,6,1,83,,,,,,,,,,6,100.00%,6,100.00%,498,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
HURUNUI DISTRICT,HURUNUI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"8,048",,0,,,Re-elected,1,100.00%,1,,,,,,"7,983",65,0.81%,"8,048","11,529",69.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
HUTT CITY,EASTBOURNE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Unopposed,5,5,5,1,765,,,,,,,,,,3,60.00%,3,60.00%,"3,820",5,0.13%,"3,825","5,040",75.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.00%,2,40.00%,
HUTT CITY,PETONE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,6,,9,1.5,"1,510",498,,,,,,,,,5,55.60%,4,66.70%,"9,046",11,0.12%,"9,057","12,950",69.90%,"9,046",11,"9,057","2,977",32.90%,8,72.70%,"2,985",33.00%,42,1.40%,,,42,1.40%,21,50.00%,,,21,50.00%,6,0.20%,96,3.20%,102,3.40%,2,22.20%,0,,
HUTT CITY,WAINUIOMATA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,6,,10,1.67,"1,975",749,,,,,,,,,4,40.00%,3,50.00%,"11,847",3,0.03%,"11,850","18,300",64.80%,"11,847",3,"11,850","4,492",37.90%,3,100.00%,"4,495",37.90%,,,,,,,19,,,,19,,7,0.20%,124,2.80%,131,2.90%,3,30.00%,2,33.30%,
HUTT CITY,HUTT CITY COUNCIL,CENTRAL,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,,4,2,"6,187","2,568",2,50.00%,,,2,100.00%,2,,,,,,"12,365",8,0.06%,"12,373","16,440",75.30%,"12,365",8,"12,373","5,127",41.50%,8,100.00%,"5,135",41.50%,72,1.40%,,,72,1.40%,44,61.10%,,,44,61.10%,8,0.20%,91,1.80%,99,1.90%,1,25.00%,0,,
HUTT CITY,HUTT CITY COUNCIL,EASTERN,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,,7,3.5,"5,768","1,966",1,14.30%,,,1,50.00%,1,,,,,,"11,531",5,0.04%,"11,536","16,665",69.20%,"11,531",5,"11,536","3,927",34.10%,5,100.00%,"3,932",34.10%,71,1.80%,,,71,1.80%,39,54.90%,,,39,54.90%,11,0.30%,108,2.70%,119,3.00%,3,42.90%,2,100.00%,
HUTT CITY,HUTT CITY COUNCIL,HARBOUR,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,,8,4,"6,440","2,360",2,25.00%,,,1,50.00%,1,,4,50.00%,1,50.00%,"12,866",14,0.11%,"12,880","17,373",74.10%,"12,866",14,"12,880","4,712",36.60%,8,57.10%,"4,720",36.60%,57,1.20%,,,57,1.20%,32,56.10%,,,32,56.10%,24,0.50%,94,2.00%,118,2.50%,4,50.00%,1,50.00%,
HUTT CITY,HUTT CITY COUNCIL,NORTHERN,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,,5,2.5,"5,111","1,786",2,40.00%,,,2,100.00%,2,,,,,,"10,217",4,0.04%,"10,221","15,066",67.80%,"10,217",4,"10,221","3,569",34.90%,3,75.00%,"3,572",34.90%,33,0.90%,,,33,0.90%,17,51.50%,,,17,51.50%,3,0.10%,27,0.80%,30,0.80%,2,40.00%,1,50.00%,
HUTT CITY,HUTT CITY COUNCIL,WAINUIOMATA,CC,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,2,,5,2.5,"5,925","2,248",1,20.00%,,,,,,,2,40.00%,1,50.00%,"11,847",3,0.03%,"11,850","17,295",68.50%,"11,847",3,"11,850","4,492",37.90%,3,100.00%,"4,495",37.90%,41,0.90%,,,41,0.90%,19,46.30%,,,19,46.30%,4,0.10%,118,2.60%,122,2.70%,1,20.00%,1,50.00%,
HUTT CITY,HUTT CITY COUNCIL,WESTERN,CC,FPP,n,Wellington,Metro,City,s,Y,1.20 pm,5.00 pm,Random,Hutt Mana Charitable Trust,N/A,"70,114",773,6,Contested,2,,3,1.5,"5,626","1,910",2,66.70%,,,2,100.00%,2,,,,,,"11,251",0,0.00%,"11,251","15,396",73.10%,"11,251",,"11,251","3,819",33.90%,,,"3,819",33.90%,46,1.20%,,,46,1.20%,29,63.00%,,,29,63.00%,1,0.00%,96,2.50%,97,2.50%,2,66.70%,1,50.00%,
HUTT CITY,HUTT CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Metro,City,s,,,,,,,,,,Contested,1,,2,2,"70,111","25,680",0,,,Re-elected,1,100.00%,1,,,,,,"70,077",34,0.05%,"70,111","98,235",71.40%,"70,077",34,"70,111","25,646",36.60%,34,100.00%,"25,680",36.60%,320,1.20%,,,320,1.20%,180,56.30%,,,180,56.30%,18,0.10%,816,3.20%,834,3.20%,0,,,,
HUTT VALLEY DHB,HUTT VALLEY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Wellington,DHB,DHB,,Y,3.00 pm,5.00 pm,Random,,,,,,Contested,7,,15,2.14,"14,144","5,348",,,,,,,,,7,46.70%,7,100.00%,"99,011",,,"99,011","144,500",68.50%,"99,011",,"99,011","37,439",37.80%,,,"37,439",37.80%,491,1.30%,,,491,1.30%,304,61.90%,,,304,61.90%,"2,205",5.90%,"1,635",4.40%,"3,840",10.30%,4,26.70%,2,28.60%,
INVERCARGILL CITY,BLUFF COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Provincial,City,s,,,,,,,,,,Contested,5,,12,2.4,295,160,,,,,,,,,4,33.30%,1,20.00%,"1,469",6,0.41%,"1,475","2,090",70.60%,"1,469",6,"1,475",794,54.10%,5,83.30%,799,54.20%,5,0.60%,,,5,0.60%,5,100.00%,,,5,100.00%,10,1.30%,8,1.00%,18,2.30%,8,66.70%,2,40.00%,
INVERCARGILL CITY,INVERCARGILL CITY COUNCIL,AT LARGE,CC,FPP,s,Southland,Provincial,City,s,N,N/A,12th October 1.30 pm,Alphabetical,Bluff Community Pool Trust Board,N/A,"38,784",483,41,Contested,12,,22,1.83,123,"1,507",9,40.90%,,,9,75.00%,9,69.20%,,,,,"1,469",6,0.41%,"1,475","51,696",2.90%,"1,469",6,"1,475","18,027",1227.20%,59,983.30%,"18,086",1226.20%,73,0.40%,8,13.60%,81,0.40%,71,97.30%,8,100.00%,79,97.50%,63,0.30%,345,1.90%,408,2.30%,3,13.60%,2,16.70%,
INVERCARGILL CITY,INVERCARGILL LICENSING TRUST,AT LARGE,LT,FPP,s,Southland,Provincial,City,s,,,,,,,,,,Contested,6,,9,1.5,"5,335","2,460",,,,,,,,,6,66.70%,5,83.30%,"32,012",,,"32,012","51,696",61.90%,"32,012",,"32,012","14,758",46.10%,,,"14,758",46.10%,53,0.40%,,,53,0.40%,51,96.20%,,,51,96.20%,17,0.10%,610,4.10%,627,4.20%,2,22.20%,2,33.30%,
INVERCARGILL CITY,INVERCARGILL CITY COUNCIL,AT LARGE,MAYOR,FPP,s,Southland,Provincial,City,s,N,N/A,12th October 1.30 pm,Alphabetical,Bluff Community Pool Trust Board,N/A,"38,784",483,41,Contested,1,,3,3,"38,784","18,086",0,,,Re-elected,1,100.00%,1,,,,,,"38,718",66,0.17%,"38,784","51,696",75.00%,"38,718",66,"38,784","18,027",46.60%,59,89.40%,"18,086",46.60%,73,0.40%,8,13.60%,81,0.40%,71,97.30%,6,75.00%,77,95.10%,13,0.10%,639,3.50%,652,3.60%,0,,,,
KAIKOURA DISTRICT,KAIKOURA DISTRICT COUNCIL,AT LARGE,DC,FPP,s,Canterbury,Rural,District,,Y,12.20 pm,12th October 8.22 pm,Random,N/A,N/A,"2,700",17,2,Contested,7,,15,2.14,"5,541","2,584",5,33.30%,,,4,57.10%,5,62.50%,,,,,"38,718",66,0.17%,"38,784","51,696",75.00%,"38,718",66,"38,784","18,027",46.60%,59,89.40%,"18,086",46.60%,73,0.40%,8,13.60%,81,0.40%,71,97.30%,6,75.00%,77,95.10%,7,0.00%,7,0.00%,14,0.10%,4,26.70%,2,28.60%,
KAIKOURA DISTRICT,KAIKOURA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,1,,2,2,"2,700","1,600",1,50.00%,1,Re-elected,1,100.00%,,,,,,,"2,678",22,0.81%,"2,700","3,552",76.00%,"2,678",22,"2,700","1,582",59.10%,18,81.80%,"1,600",59.30%,22,1.40%,14,77.80%,36,2.30%,20,90.90%,9,64.30%,29,80.60%,,,62,3.90%,62,3.90%,1,50.00%,0,,
KAIPARA DISTRICT,KAIPARA DISTRICT COUNCIL,AT LARGE,DC,STV,n,,,District,,No elections in 2013,,,,,,,,,Not Contested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIPARA DISTRICT,KAIPARA DISTRICT COUNCIL,AT LARGE,MAYOR,STV,n,,,District,,No elections in 2013,,,,,,,,,Not Contested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIPARA DISTRICT,KAIPARA DISTRICT COUNCIL,DARGAVILLE,TA,STV,n,,,District,,No elections in 2013,,,,,,,,,Not Contested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIPARA DISTRICT,KAIPARA DISTRICT COUNCIL,OTAMATEA,TA,STV,n,,,District,,No elections in 2013,,,,,,,,,Not Contested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIPARA DISTRICT,KAIPARA DISTRICT COUNCIL,WEST COAST/CENTRAL,TA,STV,n,,,District,,No elections in 2013,,,,,,,,,Not Contested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPITI COAST DISTRICT,OTAKI COMMUNITY BOARD,AT LARGE,CB,STV,n,Wellington,Provincial,District,,,,,,,,,,,Contested,4,,6,1.5,"1,559",762,,,,,,,,,3,50.00%,2,50.00%,"6,173",64,1.03%,"6,237","9,282",67.20%,"6,173",64,"6,237","2,994",48.50%,54,84.40%,"3,048",48.90%,25,0.80%,6,11.10%,31,1.00%,24,96.00%,6,100.00%,30,96.80%,18,0.60%,93,3.10%,111,3.60%,3,50.00%,1,25.00%,
KAPITI COAST DISTRICT,PAEKAKARIKI COMMUNITY BOARD,AT LARGE,CB,STV,n,Wellington,Provincial,District,,,,,,,,,,,Contested,4,,5,1.25,326,170,,,,,,,,,1,20.00%,1,25.00%,"1,290",12,0.92%,"1,302","1,670",78.00%,"1,290",12,"1,302",663,51.40%,15,125.00%,678,52.10%,12,1.80%,4,26.70%,16,2.40%,9,75.00%,4,100.00%,13,81.30%,,,32,4.70%,32,4.70%,0,,,,
KAPITI COAST DISTRICT,PARAPARAUMU-RAUMATI COMMUNITY BOARD,AT LARGE,CB,STV,n,Wellington,Provincial,District,,,,,,,,,,,Contested,4,,7,1.75,"5,151","2,530",,,,,,,,,2,28.60%,1,25.00%,"20,532",70,0.34%,"20,602","28,100",73.30%,"20,532",70,"20,602","10,037",48.90%,82,117.10%,"10,119",49.10%,135,1.30%,14,17.10%,149,1.50%,109,80.70%,14,100.00%,123,82.60%,31,0.30%,"1,083",10.70%,"1,114",11.00%,3,42.90%,3,75.00%,
KAPITI COAST DISTRICT,WAIKANAE COMMUNITY BOARD,AT LARGE,CB,STV,n,Wellington,Provincial,District,,,,,,,,,,,Contested,4,,7,1.75,"2,169","1,237",,,,,,,,,4,57.10%,3,75.00%,"8,581",96,1.11%,"8,677","10,521",82.50%,"8,581",96,"8,677","4,844",56.50%,103,107.30%,"4,947",57.00%,43,0.90%,16,15.50%,59,1.20%,30,69.80%,13,81.30%,43,72.90%,25,0.50%,305,6.20%,330,6.70%,1,14.30%,1,25.00%,
KAPITI COAST DISTRICT,KAPITI COAST DISTRICT COUNCIL,KAPITI COAST DISTRICT AT LARGE,DC,STV,n,Wellington,Provincial,District,,,,,,,,,,,Contested,5,,15,3,"7,546","3,859",4,26.70%,,,2,40.00%,2,,2,13.30%,1,20.00%,"37,489",241,0.64%,"37,730","49,104",76.80%,"37,489",241,"37,730","19,038",50.80%,257,106.60%,"19,295",51.10%,213,1.10%,44,17.10%,257,1.30%,173,81.20%,41,93.20%,214,83.30%,109,0.60%,821,4.30%,930,4.80%,5,33.30%,2,40.00%,
KAPITI COAST DISTRICT,KAPITI COAST DISTRICT COUNCIL,OTAKI,DC,STV,n,Wellington,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"7,161","3,543",1,33.30%,,,1,100.00%,1,,1,33.30%,,,"7,093",68,0.95%,"7,161","9,282",77.10%,"7,093",68,"7,161","3,479",49.00%,64,94.10%,"3,543",49.50%,30,0.90%,11,17.20%,41,1.20%,29,96.70%,11,100.00%,40,97.60%,18,0.50%,179,5.10%,197,5.60%,1,33.30%,1,100.00%,
KAPITI COAST DISTRICT,KAPITI COAST DISTRICT COUNCIL,PAEKAKARIKI-RAUMATI,DC,STV,n,Wellington,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"7,230",,,,,,,,,,1,100.00%,1,100.00%,"7,191",39,0.54%,"7,230","9,840",73.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
KAPITI COAST DISTRICT,KAPITI COAST DISTRICT COUNCIL,PARAPARAUMU,DC,STV,n,Wellington,Provincial,District,,,,,,,,,,,Contested,2,,4,2,"7,337","3,597",2,50.00%,,,1,50.00%,1,,,,,,"14,631",43,0.29%,"14,674","19,461",75.40%,"14,631",43,"14,674","7,145",48.80%,49,114.00%,"7,194",49.00%,82,1.10%,11,22.40%,93,1.30%,59,72.00%,11,100.00%,70,75.30%,68,0.90%,506,7.00%,574,8.00%,0,,,,
